Collection,"""Observation ID""",Target,RA,Dec,"""Min. Wavelength""","""Max. Wavelength""","""Proposal ID""","""P.I. Name""","""Data Release"""
DAO,dao_c122_2006_011569,th/ar,,,4.13525E-7,4.5552499999999997E-7,,,2006-07-25T05:04:19.000
DAO,dao_c122_2006_011570,HD147394,244.91881131702678,46.31142589856216,4.13525E-7,4.5552499999999997E-7,,,2007-07-25T05:05:10.000
DAO,dao_c122_2006_013145,alp sco,247.3584666395692,-26.424614370247607,6.132875E-7,6.762875E-7,,,2007-08-04T04:21:44.000
DAO,dao_c122_2006_013146,Del Sco,240.0906358097589,-22.61956768245082,6.132875E-7,6.762875E-7,,,2007-08-04T04:27:10.000
DAO,dao_c122_1997_005506,Th-Ar arc,,,,,,,1997-04-17T07:17:19.000
DAO,dao_c122_1997_005507,Th-Ar arc,,,,,,,1997-04-17T07:17:28.000
DAO,dao_c122_1997_005561,Th-Ar arc,,,,,,,1997-04-17T12:51:32.000
DAO,dao_c122_2006_005092,Comparison,,,4.3381E-7,4.5061000000000004E-7,,,2006-05-05T05:36:40.000
DAO,dao_c122_2006_005094,HD 102494,176.9780614256822,27.338720178759015,4.3381E-7,4.5061000000000004E-7,,,2007-05-05T05:55:08.000
DAO,dao_c122_2006_005095,HD 111163,191.7889150419411,15.591514982737424,4.3381E-7,4.5061000000000004E-7,,,2007-05-05T06:21:59.000
DAO,dao_c122_2006_005096,Comparison,,,4.3381E-7,4.5061000000000004E-7,,,2006-05-05T06:33:42.000
DAO,dao_c122_2006_005098,HD 121212,208.3456605357165,33.78522780693734,4.3381E-7,4.5061000000000004E-7,,,2007-05-05T06:59:38.000
DAO,dao_c122_2006_005100,HD 125260,214.13037153989347,55.29351183614738,4.3381E-7,4.5061000000000004E-7,,,2007-05-05T07:32:42.000
DAO,dao_c122_2006_005101,HD 128165,218.37079310680122,52.90298708850222,4.3381E-7,4.5061000000000004E-7,,,2007-05-05T07:52:06.000
DAO,dao_c122_2006_005102,HR 5553,223.3452159069818,19.149356970197886,4.3381E-7,4.5061000000000004E-7,,,2007-05-05T08:23:56.000
DAO,dao_c122_2006_005103,Comparison,,,4.3381E-7,4.5061000000000004E-7,,,2006-05-05T08:39:58.000
DAO,dao_c122_2006_013151,FR Sct,275.8496230115144,-12.677336152249536,6.132875E-7,6.762875E-7,,,2007-08-04T06:44:11.000
DAO,dao_c122_2006_013152,V379 Cep,310.8155174898642,57.114159202610075,6.132875E-7,6.762875E-7,,,2007-08-04T06:59:07.000
DAO,dao_c122_2006_005104,5 Ser,229.82459081020644,1.7585529534909057,4.3381E-7,4.5061000000000004E-7,,,2007-05-05T08:42:06.000
DAO,dao_c122_2006_005107,Kappa Her B,242.01636512959587,17.04792519878646,4.3381E-7,4.5061000000000004E-7,,,2007-05-05T09:16:21.000
DAO,dao_c122_2006_005108,g Her,247.1609813082165,41.87861033143363,4.3381E-7,4.5061000000000004E-7,,,2007-05-05T09:28:40.000
DAO,dao_c122_2006_005110,HD 148434,246.58618847699177,40.80252055717633,4.3381E-7,4.5061000000000004E-7,,,2007-05-05T09:41:38.000
DAO,dao_c122_2006_005111,HD 148912,247.83412976184738,1.2987449334402328,4.3381E-7,4.5061000000000004E-7,,,2007-05-05T10:13:12.000
DAO,dao_c122_2006_011575,th/ar,,,4.13525E-7,4.5552499999999997E-7,,,2006-07-25T05:31:16.000
DAO,dao_c122_2006_011578,th/ar,,,4.13525E-7,4.5552499999999997E-7,,,2006-07-25T05:36:52.000
DAO,dao_c122_2006_011579,HD164353,270.1551529371289,2.924790419043333,4.13525E-7,4.5552499999999997E-7,,,2007-07-25T05:37:42.000
DAO,dao_c122_1997_005563,Th-Ar arc,,,,,,,1997-04-17T12:51:48.000
DAO,dao_c122_1997_005562,Th-Ar arc,,,,,,,1997-04-17T12:51:40.000
DAO,dao_c122_1997_005564,Th-Ar arc,,,,,,,1997-04-17T12:51:57.000
DAO,dao_c122_1997_005565,Th-Ar arc,,,,,,,1997-04-17T12:52:05.000
DAO,dao_c122_1997_005566,Th-Ar arc,,,,,,,1997-04-17T12:52:13.000
DAO,dao_c122_1997_005567,Th-Ar arc,,,,,,,1997-04-17T12:52:21.000
DAO,dao_c122_1997_005568,Th-Ar arc,,,,,,,1997-04-17T12:52:30.000
DAO,dao_c122_2006_011581,th/ar,,,4.13525E-7,4.5552499999999997E-7,,,2006-07-25T05:45:23.000
DAO,dao_c122_2006_011584,th/ar,,,4.13525E-7,4.5552499999999997E-7,,,2006-07-25T05:55:00.000
DAO,dao_c122_2006_013154,U Lac,341.9351015362118,55.155063904085154,6.132875E-7,6.762875E-7,,,2007-08-04T07:58:45.000
DAO,dao_c122_1997_005569,Th-Ar arc,,,,,,,1997-04-17T12:52:38.000
DAO,dao_c122_1997_005570,Th-Ar arc,,,,,,,1997-04-17T12:52:47.000
DAO,dao_c122_1997_005571,Th-Ar arc,,,,,,,1997-04-17T12:52:55.000
DAO,dao_c122_1997_005572,Th-Ar arc,,,,,,,1997-04-17T12:53:04.000
DAO,dao_c122_1997_005573,Th-Ar arc,,,,,,,1997-04-17T12:53:12.000
